epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1291.1,1.61856,3.10383,1.42971,0.25581,0.48677,0.28105,0.13767,1.60119,3.74574,1.49813,0.000472364,0.000472364,0.000472364
2,2395.85,1.58949,2.3573,1.40566,0.64192,0.44171,0.48588,0.23364,1.68703,2.73262,1.58171,0.000929913,0.000929913,0.000929913
3,3295.7,1.60725,2.03106,1.41937,0.46282,0.33672,0.33193,0.1368,2.2998,3.17049,2.70818,0.0013686,0.0013686,0.0013686
4,4190.01,1.58299,1.76042,1.40404,0.74095,0.65246,0.72028,0.39306,1.5788,1.54865,1.49797,0.00134412,0.00134412,0.00134412
5,5100.46,1.54847,1.54845,1.40488,0.70391,0.66319,0.77858,0.45339,1.46539,1.46169,1.38076,0.00131582,0.00131582,0.00131582
6,5989.61,1.48362,1.42721,1.35924,0.81064,0.6063,0.73104,0.44035,1.47207,1.43283,1.40578,0.00128753,0.00128753,0.00128753
7,6881.86,1.47127,1.35255,1.34582,0.7405,0.64927,0.72983,0.42962,1.4228,1.41117,1.34975,0.00125923,0.00125923,0.00125923
8,7793.12,1.44784,1.2916,1.32454,0.81432,0.76881,0.8459,0.503,1.33192,1.10069,1.29755,0.00123094,0.00123094,0.00123094
9,8734.14,1.43274,1.26415,1.33754,0.88404,0.76198,0.86816,0.53027,1.35976,0.99349,1.32141,0.00120265,0.00120265,0.00120265
10,9658.24,1.418,1.2307,1.32585,0.7948,0.73481,0.8216,0.52292,1.27886,1.06679,1.27879,0.00117435,0.00117435,0.00117435
11,10913.1,1.38291,1.14403,1.30337,0.85692,0.76894,0.89051,0.55859,1.25475,0.91416,1.2661,0.00114606,0.00114606,0.00114606
12,12554.1,1.38445,1.11573,1.29889,0.93702,0.79509,0.9145,0.58219,1.28176,0.81221,1.25459,0.00111776,0.00111776,0.00111776
13,13716.5,1.3469,1.07557,1.27885,0.86826,0.78226,0.88622,0.55357,1.36868,0.91801,1.3172,0.00108947,0.00108947,0.00108947
14,14821.2,1.34462,1.05046,1.26665,0.88452,0.76452,0.88086,0.58914,1.20255,0.8482,1.20101,0.00106118,0.00106118,0.00106118
15,15971.3,1.30138,1.02135,1.24742,0.91968,0.81215,0.90865,0.60235,1.18669,0.77861,1.19347,0.00103288,0.00103288,0.00103288
16,16874.6,1.31384,0.99229,1.26331,0.86149,0.79774,0.87794,0.58713,1.17969,0.80817,1.20216,0.00100459,0.00100459,0.00100459
17,17776.7,1.28041,0.97459,1.23932,0.82498,0.83734,0.91008,0.58948,1.20421,0.80124,1.21168,0.000976293,0.000976293,0.000976293
18,18822.9,1.26597,0.97722,1.23975,0.93195,0.84498,0.93028,0.62301,1.16738,0.73853,1.17339,0.000947999,0.000947999,0.000947999
19,19895.3,1.26484,0.91824,1.23154,0.93115,0.81092,0.91706,0.61245,1.19226,0.72588,1.2226,0.000919704,0.000919704,0.000919704
20,20918.8,1.26817,0.92847,1.2228,0.91158,0.80868,0.92033,0.62946,1.14942,0.75606,1.16589,0.00089141,0.00089141,0.00089141
21,21831.2,1.25287,0.90501,1.22114,0.90973,0.8611,0.92647,0.62914,1.14383,0.69675,1.17877,0.000863116,0.000863116,0.000863116
22,22732.6,1.2324,0.89384,1.20948,0.88315,0.83663,0.91627,0.63043,1.13388,0.69654,1.16719,0.000834822,0.000834822,0.000834822
23,23643,1.23644,0.87341,1.21467,0.92191,0.83031,0.92767,0.59408,1.23239,0.71861,1.22102,0.000806528,0.000806528,0.000806528
24,24540.5,1.20733,0.85322,1.20525,0.91691,0.81446,0.91364,0.62953,1.12479,0.70052,1.16312,0.000778233,0.000778233,0.000778233
25,25440.9,1.21504,0.85358,1.19452,0.91494,0.83365,0.93632,0.64108,1.13312,0.67642,1.17748,0.000749939,0.000749939,0.000749939
26,26373.5,1.183,0.82698,1.19268,0.88887,0.87561,0.94275,0.64756,1.12366,0.65751,1.17562,0.000721645,0.000721645,0.000721645
27,27290.3,1.17894,0.80568,1.1839,0.9342,0.86053,0.94293,0.66548,1.07342,0.62692,1.13315,0.000693351,0.000693351,0.000693351
28,28230.6,1.19523,0.80147,1.1902,0.93208,0.86459,0.94788,0.65675,1.08802,0.60763,1.15392,0.000665057,0.000665057,0.000665057
29,29148,1.16935,0.79415,1.17886,0.91074,0.86945,0.93415,0.6571,1.05924,0.62475,1.12299,0.000636762,0.000636762,0.000636762
